news_no,title,date,keyword,url,site
30,[정동칼럼] 3주의 과로와 가산임금 없는 강제 휴가,3월 27일,69시간근무제,./articles/CBMiLGh0dHBzOi8vbS5raGFuLmNvLmtyL2FydGljbGUvMjAyMzAzMjcwMzAwMDM10gE_aHR0cHM6Ly9tLmtoYW4uY28ua3Ivb3Bpbmlvbi9jb2x1bW4vYXJ0aWNsZS8yMDIzMDMyNzAzMDAwMzUvYW1w?hl=ko&gl=KR&ceid=KR%3Ako,구글
31,[뉴스워커_정치 속 경제] ‘주 69시간제’ 논란 일파만파…여야도 질타 한목소리,3월 22일,69시간근무제,./articles/CBMiPmh0dHA6Ly93d3cubmV3c3dvcmtlci5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTk3NzI40gFBaHR0cDovL3d3dy5uZXdzd29ya2VyLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0xOTc3Mjg?hl=ko&gl=KR&ceid=KR%3Ako,구글
32,전용기 vs 이정식 “MZ가 69시간 근무 좋아한다는데 맞습니까?”,3월 24일,69시간근무제,./articles/CBMiM2h0dHBzOi8vaWx5by5jby5rci8_YWM9YXJ0aWNsZV92aWV3JmVudHJ5X2lkPTQ0OTIwMdIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
33,"주60시간도 길다, 지금도 아픈 사람이 너무 많다",3월 26일,69시간근무제,./articles/CBMiNmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L2xhYm9yLzEwODUxNDcuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
34,[경제 토론] 주 69시간 몰아서 일하고 장기휴가…진짜 가능할까?,3월 10일,69시간근무제,./articles/CBMiKWh0dHBzOi8vYml6LnNicy5jby5rci9hcnRpY2xlLzIwMDAwMTA3Mzg40gEtaHR0cHM6Ly9iaXouc2JzLmNvLmtyL2FtcC9hcnRpY2xlLzIwMDAwMTA3Mzg4?hl=ko&gl=KR&ceid=KR%3Ako,구글
35,"'주69시간제' 논란에… 당·정·대 ""국민에 묻겠다"" 6000명 여론 조사한다",5일 전,69시간근무제,./articles/CBMiR2h0dHBzOi8vd3d3Lm5ld2RhaWx5LmNvLmtyL3NpdGUvZGF0YS9odG1sLzIwMjMvMDMvMzEvMjAyMzAzMzEwMDA5MS5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
36,'주 69시간제는 생명권 침해'…서울대 곳곳에 대자보,3월 21일,69시간근무제,./articles/CBMiMGh0dHBzOi8vd3d3Lm5ld3NwaW0uY29tL25ld3Mvdmlldy8yMDIzMDMyMTAwMDY1MNIBMWh0dHBzOi8vbS5uZXdzcGltLmNvbS9uZXdzYW1wL3ZpZXcvMjAyMzAzMjEwMDA2NTA?hl=ko&gl=KR&ceid=KR%3Ako,구글
37,'69시간' 논란 속 눈에 띄는 '주4일제' 대구경북 기업,3월 28일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3Lnllb25nbmFtLmNvbS93ZWIvdmlldy5waHA_a2V5PTIwMjMwMzI4MDEwMDAzNjYw0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
38,뭐가 중한디? 지금은 '일할 자유' 아닌 '워라밸 보장',3월 27일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3LnByZXNzaWFuLmNvbS9wYWdlcy9hcnRpY2xlcy8yMDIzMDMyNzE1NDQzNDU3NDM20gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
39,與 “주 최대 69시간 → 64시간”… 근로시간 상한선 하향 검토,3월 16일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL2FydGljbGUvYWxsLzIwMjMwMzE2LzExODM1MjI2NS8x0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIzMDMxNi8xMTgzNTIyNjUvMQ?hl=ko&gl=KR&ceid=KR%3Ako,구글
